                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0045,                  5.234,                 1.0295,                      0,                      0,                      0,                      0,                      0,                 59.609,                      0,                  7e-05,                  7e-05,                  7e-05
                      2,                 1.5381,                  4.501,                0.89033,                      0,                      0,                      0,                      0,                      0,                 59.078,                      0,             0.00014951,             0.00014951,             0.00014951
                      3,                 1.4802,                 3.6864,                0.86614,                      0,                      0,                      0,                      0,                      0,                 56.172,                      0,             0.00022848,             0.00022848,             0.00022848
                      4,                 1.4806,                 3.0031,                0.84923,                      0,                      0,                      0,                      0,                      0,                 51.586,                      0,             0.00030693,             0.00030693,             0.00030693
                      5,                 1.3987,                 2.6322,                0.84534,                      0,                      0,                      0,                      0,                      0,                 46.953,                      0,             0.00038485,             0.00038485,             0.00038485
                      6,                 1.2705,                 2.4107,                0.83676,                      0,                      0,                      0,                      0,                      0,                 44.914,                      0,             0.00046225,             0.00046225,             0.00046225
                      7,                 1.2426,                 2.3187,                0.83525,                      0,                      0,                      0,                      0,                      0,                 44.477,                      0,             0.00053911,             0.00053911,             0.00053911
                      8,                 1.3834,                 2.3685,                0.84121,                      0,                      0,                      0,                      0,                      0,                 45.336,                      0,             0.00061545,             0.00061545,             0.00061545
                      9,                 1.2422,                 2.2702,                0.83469,                      0,                      0,                      0,                      0,                      0,                 46.086,                      0,             0.00069126,             0.00069126,             0.00069126
                     10,                 1.2546,                 2.1873,                0.83869,                      0,                      0,                      0,                      0,                      0,                 46.773,                      0,             0.00076654,             0.00076654,             0.00076654
                     11,                 1.1508,                 2.1155,                0.83751,                      0,                      0,                      0,                      0,                      0,                 52.711,                      0,             0.00084129,             0.00084129,             0.00084129
                     12,                 1.1918,                 2.0224,                0.82838,                      0,                      0,                      0,                      0,                      0,                 60.641,                      0,             0.00091552,             0.00091552,             0.00091552
                     13,                 1.1753,                   1.91,                0.83183,                      0,                      0,                      0,                      0,                      0,                 57.695,                      0,              0.0009604,              0.0009604,              0.0009604
                     14,                 1.2169,                 1.9498,                0.83722,                      0,                      0,                      0,                      0,                      0,                 59.148,                      0,              0.0009604,              0.0009604,              0.0009604
                     15,                 1.1414,                 1.8736,                 0.8367,                      0,                      0,                      0,                      0,                      0,                 65.594,                      0,              0.0009571,              0.0009571,              0.0009571
                     16,                 1.1434,                 1.7902,                0.83623,                      0,                      0,                      0,                      0,                      0,                 79.828,                      0,              0.0009538,              0.0009538,              0.0009538
                     17,                 1.1241,                  1.735,                0.82752,                      0,                      0,                      0,                      0,                      0,                 101.64,                      0,              0.0009505,              0.0009505,              0.0009505
                     18,                  1.071,                 1.6829,                0.81986,                      0,                      0,                      0,                      0,                      0,                 90.328,                      0,              0.0009472,              0.0009472,              0.0009472
                     19,                 1.0454,                 1.5897,                0.82385,                      0,                      0,                      0,                      0,                      0,                 92.984,                      0,              0.0009439,              0.0009439,              0.0009439
                     20,                 1.0854,                 1.5248,                0.82575,                      0,                      0,                      0,                      0,                      0,                 110.17,                      0,              0.0009406,              0.0009406,              0.0009406
                     21,                 1.1475,                 1.6263,                0.83515,                      0,                      0,                      0,                      0,                      0,                 101.73,                      0,              0.0009373,              0.0009373,              0.0009373
                     22,                 1.1113,                 1.5275,                0.82958,                      0,                      0,                      0,                      0,                      0,                 90.234,                      0,               0.000934,               0.000934,               0.000934
                     23,                 1.1172,                 1.4996,                0.81915,                      0,                      0,                      0,                      0,                      0,                 91.953,                      0,              0.0009307,              0.0009307,              0.0009307
                     24,                 1.0097,                 1.4041,                0.82985,                      0,                      0,                      0,                      0,                      0,                 117.73,                      0,              0.0009274,              0.0009274,              0.0009274
                     25,                 1.0167,                 1.4184,                0.81437,                      0,                      0,                      0,                      0,                      0,                 101.89,                      0,              0.0009241,              0.0009241,              0.0009241
                     26,                 1.0428,                 1.3789,                0.81181,                      0,                      0,                      0,                      0,                      0,                 104.27,                      0,              0.0009208,              0.0009208,              0.0009208
                     27,                 1.0725,                  1.366,                0.81592,                      0,                      0,                      0,                      0,                      0,                    138,                      0,              0.0009175,              0.0009175,              0.0009175
                     28,                 1.0093,                 1.2749,                0.82089,                      0,                      0,                      0,                      0,                      0,                 159.22,                      0,              0.0009142,              0.0009142,              0.0009142
                     29,                 1.0092,                 1.2727,                0.82263,                      0,                      0,                      0,                      0,                      0,                 119.97,                      0,              0.0009109,              0.0009109,              0.0009109
                     30,                 1.0093,                 1.2124,                0.82495,                      0,                      0,                      0,                      0,                      0,                 111.95,                      0,              0.0009076,              0.0009076,              0.0009076
                     31,                 1.0611,                 1.2301,                0.81828,                      0,                      0,                      0,                      0,                      0,                 107.12,                      0,              0.0009043,              0.0009043,              0.0009043
                     32,                0.97646,                 1.1821,                0.81207,                      0,                      0,                      0,                      0,                      0,                 102.08,                      0,               0.000901,               0.000901,               0.000901
                     33,                  1.035,                 1.1842,                0.82163,                      0,                      0,                      0,                      0,                      0,                 96.797,                      0,              0.0008977,              0.0008977,              0.0008977
                     34,                  1.057,                 1.1812,                0.82754,                      0,                      0,                      0,                      0,                      0,                 96.969,                      0,              0.0008944,              0.0008944,              0.0008944
